,dataset,algorithm,rt,centr,knn,ogf
0,CAFs,pca,0.7880446927374302,0.8,0.9329608938547486,0.8664804469273744
1,CellMix,pca,0.8133333333333332,0.8888888888888888,0.9618001046572475,0.9253444967730682
2,Duo4eq,pca,0.7875613420130194,0.9333333333333333,0.556584877315974,0.7449591053246536
3,Duo8eq,pca,0.7860891337005509,0.9259259259259259,0.5708562844266399,0.7483911051762829
4,FMNIST,pca,0.8661554285714285,0.9272727272727272,0.5099428571428571,0.7186077922077923
5,Kang,pca,0.8012058004143153,0.6563436563436563,0.7074791056504036,0.68191138099703
6,MNIST,pca,0.669392,0.8252525252525252,0.4154285714285714,0.6203405483405483
7,Muraro,pca,0.7562839614373358,0.7968253968253968,0.6551270815074496,0.7259762391664232
8,TMLung,pca,0.8360264900662251,0.8285714285714286,0.9006622516556292,0.8646168401135289
9,TMPanc,pca,0.8506371191135734,0.9428571428571428,0.8012465373961218,0.8720518401266324
10,CAFs,tsne,0.7758100558659218,1.0,0.9902234636871509,0.9951117318435754
11,CellMix,tsne,0.7463840920983779,0.6666666666666666,1.0,0.8333333333333333
12,Duo4eq,tsne,0.6880320480721082,0.6,0.7623935903855784,0.6811967951927892
13,Duo8eq,tsne,0.6910866299449174,0.746031746031746,0.7876815222834251,0.7668566341575855
14,FMNIST,tsne,0.7414114285714286,0.8464646464646465,0.8485,0.8474823232323232
15,Kang,tsne,0.7568083434531039,0.647019647019647,0.9469962140152868,0.7970079305174669
16,MNIST,tsne,0.6222062857142857,0.7535353535353535,0.9742714285714286,0.8639033910533911
17,Muraro,tsne,0.7041016652059596,0.5190476190476191,0.9623137598597721,0.7406806894536956
18,TMLung,tsne,0.7859602649006623,0.7476190476190476,0.9624724061810155,0.8550457269000316
19,TMPanc,tsne,0.7249307479224377,0.780952380952381,0.9806094182825484,0.8807808996174646
20,CAFs,umap,0.7753072625698325,0.8666666666666667,0.9972067039106145,0.9319366852886406
21,CellMix,umap,0.6800523286237572,0.5555555555555556,1.0,0.7777777777777778
22,Duo4eq,umap,0.6854381572358539,0.4,0.7463695543314972,0.5731847771657486
23,Duo8eq,umap,0.6519379068602904,0.7698412698412699,0.7816725087631448,0.7757568893022073
24,FMNIST,umap,0.7283028571428571,0.8535353535353535,0.7722428571428571,0.8128891053391053
25,Kang,umap,0.7200657189799272,0.5644355644355644,0.9479962854489606,0.7562159249422625
26,MNIST,umap,0.6127594285714286,0.8080808080808081,0.9688,0.888440404040404
27,Muraro,umap,0.6348641542506572,0.6079365079365079,0.9609991235758107,0.7844678157561593
28,TMLung,umap,0.7396026490066225,0.6238095238095238,0.9536423841059603,0.788725953957742
29,TMPanc,umap,0.7115789473684211,0.7523809523809524,0.974376731301939,0.8633788418414456
30,CAFs,pacmap,0.790558659217877,0.8666666666666667,0.9916201117318436,0.9291433891992551
31,CellMix,pacmap,0.7962009419152276,0.7777777777777778,1.0,0.8888888888888888
32,Duo4eq,pacmap,0.773420130195293,0.8,0.7633950926389584,0.7816975463194793
33,Duo8eq,pacmap,0.77206810215323,0.8677248677248677,0.7934401602403606,0.8305825139826142
34,FMNIST,pacmap,0.7364279999999999,0.8313131313131313,0.7492285714285715,0.7902708513708514
35,Kang,pacmap,0.7873019501392957,0.6633366633366633,0.9566397599828559,0.8099882116597596
36,MNIST,pacmap,0.6069211428571428,0.6888888888888889,0.9737142857142858,0.8313015873015873
37,Muraro,pacmap,0.7416301489921121,0.5555555555555556,0.9618755477651183,0.758715551660337
38,TMLung,pacmap,0.764326710816777,0.8,0.9514348785871964,0.8757174392935982
39,TMPanc,pacmap,0.7130470914127424,0.780952380952381,0.9709141274238227,0.8759332541881018
40,CAFs,$\alpha = $0.25,0.786145251396648,0.8666666666666667,0.9371508379888268,0.9019087523277467
41,CellMix,$\alpha = $0.25,0.8152171637885924,0.8666666666666667,0.9534275248560963,0.9100470957613815
42,Duo4eq,$\alpha = $0.25,0.783815723585378,0.9333333333333333,0.5635953930896345,0.7484643632114839
43,Duo8eq,$\alpha = $0.25,0.7854882323485228,0.9259259259259259,0.5803705558337506,0.7531482408798382
44,FMNIST,$\alpha = $0.25,0.8665714285714285,0.9303030303030303,0.5200142857142858,0.725158658008658
45,Kang,$\alpha = $0.25,0.7972455175369669,0.6516816516816517,0.7191227944853203,0.685402223083486
46,MNIST,$\alpha = $0.25,0.6686668571428571,0.8222222222222222,0.4317714285714286,0.6269968253968254
47,Muraro,$\alpha = $0.25,0.7553198948290973,0.8,0.621384750219106,0.7106923751095531
48,TMLung,$\alpha = $0.25,0.8361147902869757,0.8380952380952381,0.9006622516556292,0.8693787448754337
49,TMPanc,$\alpha = $0.25,0.8484487534626037,0.9428571428571428,0.8150969529085873,0.8789770478828651
50,CAFs,$\alpha = $0.5,0.787486033519553,0.8666666666666667,0.9636871508379888,0.9151769087523278
51,CellMix,$\alpha = $0.5,0.7654003139717425,0.6888888888888889,0.9984301412872841,0.8436595150880866
52,Duo4eq,$\alpha = $0.5,0.7748022033049574,0.8,0.5776164246369554,0.6888082123184778
53,Duo8eq,$\alpha = $0.5,0.7847871807711566,0.9285714285714286,0.6151727591387081,0.7718720938550683
54,FMNIST,$\alpha = $0.5,0.8474942857142856,0.9212121212121213,0.5849857142857143,0.7530989177489178
55,Kang,$\alpha = $0.5,0.7835873990999357,0.6190476190476191,0.8846346167583399,0.7518411179029795
56,MNIST,$\alpha = $0.5,0.6513,0.8353535353535354,0.5543857142857143,0.6948696248196249
57,Muraro,$\alpha = $0.5,0.7562313759859773,0.6634920634920635,0.9544259421560035,0.8089590028240334
58,TMLung,$\alpha = $0.5,0.8125386313465783,0.7952380952380952,0.8807947019867549,0.838016398612425
59,TMPanc,$\alpha = $0.5,0.8303047091412742,0.919047619047619,0.8947368421052632,0.9068922305764411
60,CAFs,$\alpha = $0.75,0.788826815642458,0.8666666666666667,0.9972067039106145,0.9319366852886406
61,CellMix,$\alpha = $0.75,0.6929670329670329,0.6,1.0,0.8
62,Duo4eq,$\alpha = $0.75,0.7244767150726089,0.6,0.6985478217325989,0.6492739108662995
63,Duo8eq,$\alpha = $0.75,0.6784476715072609,0.7936507936507936,0.6907861792689034,0.7422184864598484
64,FMNIST,$\alpha = $0.75,0.7577851428571428,0.8707070707070707,0.7446428571428572,0.8076749639249639
65,Kang,$\alpha = $0.75,0.7343838845631832,0.5651015651015651,0.9462104436031145,0.7556560043523397
66,MNIST,$\alpha = $0.75,0.6200022857142857,0.8111111111111111,0.9616571428571429,0.886384126984127
67,Muraro,$\alpha = $0.75,0.6551270815074497,0.5857142857142857,0.9623137598597721,0.7740140227870289
68,TMLung,$\alpha = $0.75,0.7490507726269315,0.6571428571428571,0.9359823399558499,0.7965625985493535
69,TMPanc,$\alpha = $0.75,0.7403324099722991,0.7904761904761904,0.9702216066481995,0.880348898562195
